gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,revenue_per_tenure
1,0,0,0,-0.6666391278783103,1,0,0,-1.5225946620711341,-0.8631445247495343,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,-0.6875295371809939
1,0,1,0,1.0436161483629645,1,2,0,1.182810854199314,1.5006704790038297,0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,0.5755337570025347
1,0,0,0,0.6771328748826912,1,2,1,1.2941512532104444,1.2160043388136705,1,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0.6482395022087463
1,0,0,0,-0.30015585439803716,1,0,1,1.3539759452164248,0.1784165658888543,0,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,0.6905831687939703
0,0,1,1,1.4915401492832983,1,2,0,1.611554480242174,2.478128710529918,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,0.845924986006783
0,0,0,0,0.7992939660427822,1,0,0,-1.4660935640654862,-0.5558083996047153,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.6862607755972846
1,0,0,1,1.5729808767233588,1,2,0,1.393859073220412,2.251693748830891,0,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,0.6778262992831703
0,0,1,1,-0.9109613101984924,1,0,0,-0.31779183695069496,-0.774164281952812,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,-0.21538163860684625
0,0,0,0,-0.46303730927815856,1,0,1,0.8404806721650927,-0.18498748699192968,0,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,0.38521197853005595
1,1,0,0,-1.2774445836787656,0,1,1,-0.8346107040023594,-0.9899154337997889,1,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,-0.6776718508548053
1,0,1,0,-0.8295205827584317,1,0,0,-1.4943441130683104,-0.9181308271079157,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,-0.747610068135756
1,0,0,0,-1.2774445836787656,1,0,0,-1.4827115340671475,-0.9985242888458623,1,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,-0.8374675974138049
0,0,1,0,1.0436161483629645,1,2,1,-0.1615829189350795,0.5400105518112329,0,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,-0.028926120463581236
1,0,1,1,0.6771328748826912,1,0,0,-0.17155370093607614,0.30390718367584674,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,-0.028966677054624287
0,0,0,0,-0.0965540357978854,1,0,1,-0.31446824295036285,-0.3316912065719389,0,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,-0.1933810361593294
1,0,1,1,0.5956921474426305,1,2,1,1.1495749141959914,1.0892334297634156,1,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.6189784426176925
1,0,1,1,-1.2774445836787656,0,1,0,-1.1486903370337564,-0.9940874173990399,1,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,-0.7551113280333974
1,0,1,0,1.6137012404433893,1,2,1,0.8471278601657574,1.804563062130219,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,0.4274220987150885
0,0,0,1,-0.62591876415828,1,0,1,-0.0020504069191315333,-0.5248385954261489,1,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,-0.007303654820255673
0,1,1,0,1.5729808767233588,1,2,1,1.0498670941860242,1.9800512611463297,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,0.5377660103120129
1,1,1,0,-1.2367242199587352,1,0,1,1.0216165451832002,-0.9272253098745368,0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,-0.01021730945836836
0,0,1,1,-0.21871512695797646,1,0,0,0.046141706085686136,-0.17988839592617856,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,0.09458645765294608
1,0,0,0,-1.2774445836787656,1,0,0,-1.481049737066981,-0.9985022148585647,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,-0.8370578647303203
1,1,0,0,-1.2774445836787656,1,0,0,-0.6484894399837535,-0.9874431472224551,0,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,-0.6317817903045284
0,0,1,1,1.6137012404433893,1,2,0,1.1678546811978192,2.1940585679967946,0,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,0.6254969809092259
1,0,0,0,-1.1145631287986442,1,0,1,0.16412929309748078,-0.8675151742344638,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,-0.13696128621627587
0,0,0,0,0.5549717837226001,1,0,1,0.33363258711442517,0.5590824768363802,0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,0.23473309353207186
1,0,0,0,0.06632741908223598,1,2,1,1.3822264942192488,0.559501882595035,1,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.6594029618364872
0,0,0,0,-0.8702409464784621,1,2,1,1.099721004191008,-0.5194083945509333,1,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,0.5071384922215382
1,0,1,1,-0.9109613101984924,1,0,0,-0.5055748979694671,-0.79740819057721,0,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,-0.2938268232812643
0,0,1,1,1.5322605130033284,1,2,1,0.14751132309581955,1.1436237344647615,0,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,0.12212057642429607
0,0,1,1,-0.62591876415828,1,0,0,-1.462769970065154,-0.82277120198218,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.6217661024860157
0,0,0,0,1.247217966963116,1,2,1,0.5014740841312035,1.1388116052338793,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,0.2423444774708196
0,0,1,0,-0.7888002190384014,1,2,1,0.3801629031190768,-0.5741298090617433,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,0.14635910887325207
0,0,0,0,0.6771328748826912,1,2,1,0.6560212051466532,0.7173088177857488,0,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,0.27797227079736997
1,0,0,0,-1.2367242199587352,1,0,0,-0.5155456799704636,-0.9645965703694143,0,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.4726689315513365
0,0,0,0,-1.2367242199587352,1,0,1,0.5280628361338618,-0.9437808003477547,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,-0.21508365120067555
1,0,0,0,0.7992939660427822,1,2,1,0.4981504901308714,0.8546531667515656,0,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,0.30168976314295715
0,0,1,1,1.4915401492832983,1,2,1,-0.020330173920958795,0.8706788815296407,0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,-0.006564835251305489
0,1,0,0,0.43281069256250915,1,2,1,0.8471278601657574,0.687310269048278,0,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,0.4272840754387715
0,0,0,0,-0.7073594915983407,1,0,1,1.141265929195161,-0.3776933961001872,1,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,0.4585168804480305
0,1,1,0,-0.30015585439803716,1,2,1,0.1574821050968162,-0.23366062898319062,0,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,0.10220703531006398
0,1,1,0,-0.9924020376385531,1,2,1,0.5280628361338618,-0.7278309826150992,1,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,0.15067105758992339
0,1,1,1,1.125056875803025,1,0,1,0.33529438411459117,0.9599681601485298,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,0.19472963543478822
1,1,0,0,-0.5851984004382496,1,2,1,1.0199547481830342,-0.2337047769577859,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.5091512141754975
0,0,1,1,1.247217966963116,1,2,1,1.1595456961969886,1.7788468669284871,0,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,0.613600701146957
1,1,1,1,1.369379058123207,1,2,1,1.4520219682262263,2.116645094544028,0,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,0.7284022951874782
0,0,1,1,0.06632741908223598,1,2,0,-1.3231790220511994,-0.612604768921502,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,-0.5838196530406295
0,0,0,0,1.6137012404433893,1,2,1,1.42044782522307,2.4598293750601874,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,0.7606526386942879
0,0,1,0,0.5956921474426305,1,2,1,1.1877962451998125,1.070669206446114,0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.6046207265005861
1,0,0,0,1.125056875803025,1,2,1,0.8354952811645946,1.398953545536378,0,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,0.4618887789252316
1,0,1,0,1.6137012404433893,0,1,0,-0.7531826509942192,0.3002429017844411,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,-0.3375881107860893
0,0,1,1,-0.5851984004382496,1,0,1,-0.34438058895335305,-0.5848798408756862,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,-0.17700007651468466
0,0,0,0,-0.9516816739185228,1,2,0,0.9850570111795457,-0.6289615935090412,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.40238350281063817
0,0,0,0,-1.1960038562387048,1,0,1,0.3502505571160864,-0.8996548997398044,0,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,-0.0024323884721607794
1,0,1,0,0.5956921474426305,1,2,1,0.46989994112804756,0.6041354849108307,0,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0.24379988210694728
0,0,0,0,-0.055833672077855064,1,0,0,0.47987072312904416,0.09504311586572828,0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,0.27639070263911925
0,0,1,1,0.7178532386027215,1,0,0,-1.4827115340671475,-0.5964466102196411,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,-0.7034368060692201
1,0,0,0,-0.9109613101984924,1,0,1,0.5014740841312035,-0.6156730531558716,0,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,0.3195057554694322
1,0,0,0,-1.2774445836787656,1,0,0,-0.5221928679711283,-0.9857655241878356,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.6006421063596978
0,0,1,1,0.7992939660427822,1,0,1,-1.4744025490663168,-0.5259202208037324,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.6653257547128255
1,1,1,1,1.2879383306831464,1,2,1,1.5567151792366918,2.1266446107898513,0,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,0.787374635792528
1,0,1,1,1.2064976032430856,1,2,1,-1.3464441800535252,-0.3784880596429018,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,-0.6319834047995764
0,0,0,1,-1.1960038562387048,1,0,1,-0.00869759491979612,-0.9291015987948348,0,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,-0.27572408835639856
0,1,0,0,0.9621754209229036,1,2,0,1.5201556452330371,1.7030447945484464,0,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,0.7627110506182395
0,0,0,0,0.5549717837226001,1,0,0,-0.3028356639492,0.1796527091775211,0,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,-0.06496457014524891
0,0,1,1,-0.9924020376385531,1,0,0,-0.33607160395252245,-0.7945164982412213,0,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.12439615058941426
1,1,0,0,-0.0965540357978854,1,0,1,0.3319707901142591,-0.07532391809733362,0,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.11362769842069087
0,0,1,1,0.5142514200025698,1,2,1,-1.2916048790480432,-0.4703158468010176,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.5691283186603812
0,0,0,1,-1.2774445836787656,1,0,1,0.48485611412954227,-0.9723886878854755,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,-0.3523441001680215
0,0,1,1,-0.8702409464784621,0,1,0,-0.47233895796614456,-0.7578295313525703,0,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,-0.2304486268313486
0,0,1,0,-1.0331224013585834,1,0,1,0.34526516611558833,-0.7880488199630175,1,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0.015390983259419923
0,0,0,0,0.3920903288424788,1,0,1,1.2974748472107767,0.9030834948825526,0,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,0.6468223988439129
0,0,1,0,0.6771328748826912,1,0,1,-1.4827115340671475,-0.5777057950039584,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,-0.683539222882305
1,0,0,0,-0.9516816739185228,1,2,1,1.1479131171958254,-0.6018105891329637,0,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,0.5031777429478534
0,0,1,0,0.10704778280226633,1,0,1,-0.08680205392760396,-0.029343802556382977,0,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,0.006012657392994295
0,0,1,1,0.6364125111626608,1,0,0,-1.4660935640654862,-0.5407760142550334,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,-0.64904909625138
0,0,1,1,0.5549717837226001,1,0,1,-1.4893587220678117,-0.5981242332542606,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,-0.6793020638720739
1,0,1,0,-0.13727439951791576,0,1,0,-1.0307027500219619,-0.5618566721242643,0,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,-0.4512262544489751
1,0,1,1,-0.0965540357978854,1,0,0,0.574593152138513,0.12727113732025933,0,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0.3562423157769353
1,1,0,0,-1.2774445836787656,1,0,0,0.3303089931140931,-0.9744415687041545,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,-0.39044923973209056
1,0,1,1,1.369379058123207,1,2,1,0.6394032351449919,1.5153055325821543,0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,0.39521012314306425
0,0,0,0,1.3286586944031769,1,2,1,1.5384354122348645,2.130176448757471,0,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,0.7622405441874438
1,0,0,0,1.6137012404433893,1,2,1,1.2010906212011416,2.2855993933200414,0,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,0.6720493490848615
0,0,0,0,-0.8295205827584317,1,2,1,0.47156173812821356,-0.5980138633177725,1,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.1665350666171484
1,0,1,1,1.5729808767233588,1,2,1,0.06940686408801149,1.0890347638777371,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,0.07835323895488903
1,0,0,0,-1.1145631287986442,1,0,0,-1.4527991880641573,-0.957157636650115,1,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,-0.6916027620932822
1,0,0,0,0.7992939660427822,1,0,0,-1.4544609850643233,-0.5186137310082188,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,-0.6602079615719422
0,1,1,0,-0.30015585439803716,1,0,1,1.1213243651931677,0.10268071547070626,1,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.5824452582527616
1,0,0,0,-1.2774445836787656,1,0,0,-1.481049737066981,-0.9985022148585647,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,-0.8370578647303203
0,0,1,1,-1.2774445836787656,1,0,0,-1.505976692069473,-0.9988333246680291,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,-0.8432038549825894
1,0,0,0,0.22920887396235737,1,2,0,1.0049985751815391,0.5843792662794571,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,0.5126226066004859
0,1,1,0,1.369379058123207,0,1,0,-0.6385186579827569,0.3290494552078404,0,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,-0.26207448612449324
1,0,1,0,1.4508197855632678,1,2,1,1.503537675231376,2.3530574985015806,1,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,0.8054238857983375
1,0,0,0,-1.1145631287986442,0,1,0,-1.3447823830533592,-0.9631838351823664,0,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.7288884362903821
0,0,1,1,1.6137012404433893,1,2,1,1.3091074262119398,2.216728552951454,0,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,0.6370256238116562
0,0,0,0,-0.015113308357824713,0,1,0,-1.150352134033923,-0.5978814193939866,0,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,-0.5418765066344651
1,0,0,0,0.43281069256250915,1,2,0,0.9833952141793793,0.7237544220766552,0,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,0.4580326509130032
1,0,1,1,1.6137012404433893,1,0,0,-1.5076384890696393,-0.4055728420570864,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,-0.6965251670715837
1,0,1,0,0.9214550572028734,1,2,1,1.0631614701873533,1.3054481353436427,1,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,0.5306590993615715
0,0,0,0,0.7992939660427822,1,0,0,-0.22639300194155818,0.33567165139712757,0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,-0.06182816596673228
0,0,0,0,0.43281069256250915,1,0,1,0.893658176170409,0.7382349577438965,0,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,0.47025013456599885
0,1,1,0,0.18848851024232702,1,2,1,0.39013368512007346,0.2588100276268009,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.23443623233810262
0,0,1,1,1.2879383306831464,0,1,1,-0.33773340095268845,0.5039858045415107,0,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,-0.13937765845221067
1,0,1,1,-1.1960038562387048,1,0,0,0.8338334841644282,-0.8977565368322087,0,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,0.015186116917677687
0,0,0,0,0.14776814652229667,0,1,0,-1.1204397880309327,-0.510159393873229,0,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,-0.5036683466495689
0,0,1,1,-0.9109613101984924,1,2,1,1.1794872601989819,-0.5373986941984968,1,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.5836715910396947
0,0,0,0,0.35136996512244845,1,0,0,-1.4660935640654862,-0.6387182958945911,0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,-0.6766962968465087
1,0,1,1,-0.21871512695797646,1,2,1,0.6792863631489789,-0.05753228433544878,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,0.25681133369260456
